Name,Text
TID_MISSION_0_0,REPLACE_ME5
TID_MISSION_0_1,Gasoline Order
TID_MISSION_0_1_OBJECTIVE,"Look, I feel bad asking you to do this when you just escaped with your life, but I need you to pick up something for me. Three canisters of gas. Believe me, it's important."
TID_MISSION_0_1_RECEIVING_MESSAGE,"Thanks a lot! You know, we don't actually have a working vehicle around here, but there are other uses for this stuff - if you know what I mean..."
TID_MISSION_0_10,REPLACE_ME3
TID_MISSION_0_100,New Clothes
TID_MISSION_0_100_OBJECTIVE,"Okay, prisoner. Pick up your new clothes and put them on."
TID_MISSION_0_100_RECEIVING_MESSAGE,"Now, move to the next area. And welcome to the Dawnbreak Prison.\n\nWe give some special treatment to people like you down here."
TID_MISSION_0_101,Mercenary
TID_MISSION_0_101_OBJECTIVE,Release the kraken!!
TID_MISSION_0_101_RECEIVING_MESSAGE,Nice. That dude can be helpful.
TID_MISSION_0_102,New Outfit
TID_MISSION_0_102_OBJECTIVE,"Okay, prisoner. Pick up your new clothes and put them on."
TID_MISSION_0_102_RECEIVING_MESSAGE,"Now, move to the next area. And welcome to the Dawnbreak Prison.\n\nWe give some special treatment to people like you down here."
TID_MISSION_0_103,New Style
TID_MISSION_0_103_OBJECTIVE,"Okay, prisoner. Pick up your new clothes and put them on."
TID_MISSION_0_103_RECEIVING_MESSAGE,"Now, move to the next area. And welcome to the Dawnbreak Prison.\n\nWe give some special treatment to people like you down here."
TID_MISSION_0_104,Mercenary Business
TID_MISSION_0_104_OBJECTIVE,"Hey, you! Even in prison break there is safety in numbers.\n\nA mercenary called Pretty Roger wants to get out. Hire him and you can help each other."
TID_MISSION_0_104_RECEIVING_MESSAGE,Cool! You have got Pretty Roger with you. What a nice couple you two make.\n\nSend me a postcard when you get out of here. Haha!
TID_MISSION_0_105,Armor Alley
TID_MISSION_0_105_OBJECTIVE,"You're going to need the backup. Grim Gonzales, a badass bounty hunter, is hunting for escaped prisoners!"
TID_MISSION_0_105_RECEIVING_MESSAGE,Lloyd's mech broke down? Why am I not surprised...
TID_MISSION_0_105_TALK_TASK_0,I will lead you to GRIM GONZALES!\n\nFollow me!
TID_MISSION_0_105_TASK_0,Escort Mech
TID_MISSION_0_106,Meet Lloyd
TID_MISSION_0_106_OBJECTIVE,"With all the confusion, now's your chance to escape. Go South and find a Lloyd. He's our resident genius."
TID_MISSION_0_106_RECEIVING_MESSAGE,"What is this thing, you ask? Well, it's a big bipedal robot, anyone should be able to see that. Now, you have to lead it to McFly before we're run over by Labycore!"
TID_MISSION_0_107,MISSION: Evaluation
TID_MISSION_0_107_OBJECTIVE,"First, let's find out what work you're best suited for!"
TID_MISSION_0_107_RECEIVING_MESSAGE,Yes! Finally a good candidate. I'm assigning you to Security. You wouldn't believe the kind of scum we get around here!
TID_MISSION_0_108,MISSION: Recruitment
TID_MISSION_0_108_OBJECTIVE,Talk to Officer Smith for the final evaluation.
TID_MISSION_0_108_RECEIVING_MESSAGE,"Good day, <PLAYER_NAME>! As a final test of your skills and right mentality, you need to show us that you're prepared to defend Labycore against all security threats."
TID_MISSION_0_109,MISSION: Target Practice
TID_MISSION_0_109_OBJECTIVE,"Your combat training is about to begin! First, pick up a gun and then take out the live targets."
TID_MISSION_0_109_RECEIVING_MESSAGE,"Congratulations, you passed the evaluation! All that remains is the standard LOBOTOMY OPERATION for Labycore Troopers.\n\nGet in the van, recruit!"
TID_MISSION_0_11,First Contact
TID_MISSION_0_11_OBJECTIVE,I will stay back and guard the door. You go ahead and use the terminal to contact the Resistance.
TID_MISSION_0_11_RECEIVING_MESSAGE,[connecting 75.101.155.61...]\n[connection ready]\n\n> ... Hello? Verna sent you? So that means you are ready to bust out of the joint?
TID_MISSION_0_110,Comandante Jarden
TID_MISSION_0_110_OBJECTIVE,We need to push our advantage. Go to the field hospital and tell Comandante Jarden what's going on here.
TID_MISSION_0_110_RECEIVING_MESSAGE,De La Vega is safe? Good.
TID_MISSION_0_110_TASK_0,Talk to Jarden
TID_MISSION_0_111,Reverse engineering
TID_MISSION_0_111_OBJECTIVE,"I've salvaged the control firmware from one of the drones. Maybe the Resistance could use it to develop an anti-drone virus? With all the reinforcements LabySec keeps bringing in, I can't get it to Duke. Can you do it?"
TID_MISSION_0_111_RECEIVING_MESSAGE,Scarface tells me this is important stuff. I'll be sure to pass it along.
TID_MISSION_0_111_TASK_0,Talk to Duke
TID_MISSION_0_112,Search and Destroy
TID_MISSION_0_112_OBJECTIVE,The Hired Guns patrols in this area are really heavily armed. I'm tired of hiding in this corner and expecting a rocket in the face. Take out their grenadiers and rocketeers!
TID_MISSION_0_112_RECEIVING_MESSAGE,"> Dillinger: I can't hear any more explosions, so I guess you managed to take out all of the heavies. I'm sending your reward right now!"
TID_MISSION_0_112_TASK_0,Grenadiers killed
TID_MISSION_0_112_TASK_1,Rocketeers killed
TID_MISSION_0_113,Local Flair
TID_MISSION_0_113_OBJECTIVE,"> Duke: Find \qDillinger\q, our contact here. He'll tell you what to do next."
TID_MISSION_0_113_RECEIVING_MESSAGE,So you're the new blood Duke sent. Ready for the meat grinder?
TID_MISSION_0_113_TASK_0,Find Dillinger
TID_MISSION_0_114,Touch Base
TID_MISSION_0_114_OBJECTIVE,"You know De La Vega of the 13 Diablos, right? His gang has moved here to support our attack on the power plant. Want to go say hi?"
TID_MISSION_0_114_RECEIVING_MESSAGE,"Good to see you again, <PLAYER_NAME>."
TID_MISSION_0_114_TASK_0,Touch base with Vega
TID_MISSION_0_115,Reinforcements
TID_MISSION_0_115_OBJECTIVE,Talk to Mack. He'll know what to do.
TID_MISSION_0_115_RECEIVING_MESSAGE,"All right, here's the plan."
TID_MISSION_0_115_TASK_0,Talk to Mack
TID_MISSION_0_116,Asylum Assault
TID_MISSION_0_116_OBJECTIVE,We're going to storm Bromden Park and wipe out the screen of Hired Guns defending the Asylum. Julia has scouted the area and is waiting behind the enemy lines.
TID_MISSION_0_116_RECEIVING_MESSAGE,You rolled them. Keep the momentum going! I'll organize a perimeter here and keep enemy reinforcements from getting through.
TID_MISSION_0_116_TASK_0,Fight your way to Julia
TID_MISSION_0_117,Incy Wincy
TID_MISSION_0_117_OBJECTIVE,"Talk to Robert. He's setting up the big attack on power plant, and keeps asking for reinforcements. Guy is jumpy as hell, he would never make it undercover!"
TID_MISSION_0_117_RECEIVING_MESSAGE,"Great to see you! We need all the hands we can get for this one.\n\nThe plan is simple: we fight our way to the gate, while one of us sneaks through a tunnel under the walls and opens up the gate inside."
TID_MISSION_0_117_TASK_0,Ease Robert's mind
TID_MISSION_0_118,Warehouse of Horror
TID_MISSION_0_118_OBJECTIVE,"Find Kinder and make sure she's ok. Collect the shipment of Terrordrone parts, make sure you get all of them!"
TID_MISSION_0_118_RECEIVING_MESSAGE,"Just put them right there, I don't want to look inside. I'm glad Kinder is ok. We'll have to extract her soon."
TID_MISSION_0_118_TALK_TASK_0,"You have no idea what's going on, do you? It's like that TV show Lost from a few decades back."
TID_MISSION_0_118_TASK_0,Find Kinder
TID_MISSION_0_118_TASK_1,Confiscate drone parts
TID_MISSION_0_119,Combat Training
TID_MISSION_0_119_OBJECTIVE,"I can tell you're new to this fighting business. Don't worry, most of us are, but we share what we know and get better. Curtis over there can show you a move or two."
TID_MISSION_0_119_RECEIVING_MESSAGE,Remember to use your skills whenever you can. Keep them sharp and your opponents on their toes.
TID_MISSION_0_12,Hooligan Group Leader
TID_MISSION_0_12_OBJECTIVE,Take down the Hooligan leader
TID_MISSION_0_12_RECEIVING_MESSAGE,Good work!
TID_MISSION_0_120,Refilling
TID_MISSION_0_120_OBJECTIVE,I've a wide variety of items to sell like all the vendors in Dawnbreak. I'll also buy all the stuff you want to sell. How about buying something from me?
TID_MISSION_0_120_RECEIVING_MESSAGE,Thanks for shopping!\n\nBy the way. You can expand your inventory by pressing the green plus icon in inventory screen.
TID_MISSION_0_121,Senseless Brutality
TID_MISSION_0_121_OBJECTIVE,"Help us! A guard is beating my friend to death, asking him questions he has no answers to!"
TID_MISSION_0_121_RECEIVING_MESSAGE,"My friend is dead?! Noooo! Damn you Labycore and Sid Lovens, you lying bastard!"
TID_MISSION_0_122,Police Brutality
TID_MISSION_0_122_OBJECTIVE,"Help us! A guard is beating my friend to death, asking him questions he has no answers to!"
TID_MISSION_0_122_RECEIVING_MESSAGE,"My friend is dead?! Noooo! Damn you Labycore and Sid Lovens, you lying bastard!"
TID_MISSION_0_13,Keep Moving
TID_MISSION_0_13_OBJECTIVE,"I can't go on, leave me and keep moving. Murphy already made it out to the yard, try to catch up!"
TID_MISSION_0_13_RECEIVING_MESSAGE,You'll need a gun to bust out. Take these plans and there should be enough working parts in this heap of junk to assemble a working rifle.
TID_MISSION_0_14,NOT_IN_USE 2 Immigration Center
TID_MISSION_0_14_OBJECTIVE,Warn prisoners
TID_MISSION_0_14_RECEIVING_MESSAGE,We're finally ready to bust this joint? About time. Imagine if you'd arrived a couple of days from now? You'd be stuck here. Talk about good timing. You lucky sonovagun.
TID_MISSION_0_15,NOT_IN_USE 1 Immigration Center
TID_MISSION_0_15_OBJECTIVE,Tell Theodore to prepare for jailbreak.
TID_MISSION_0_15_RECEIVING_MESSAGE,The jailbreak is about to happen? Righteous! I'll spread the word.
TID_MISSION_0_16,WIP 3
TID_MISSION_0_17,WIP
TID_MISSION_0_18,Meet Lemmy
TID_MISSION_0_18_OBJECTIVE,"Follow the road and get deeper into the woods. Find our squad leader Lemmy.\n\nSurprisingly easy here. Calm before the storm, eh?... Have you heard the expression?"
TID_MISSION_0_18_RECEIVING_MESSAGE,I'm Lemmy. We talked earlier over the hacked terminal. Good to see you made it out in one piece!
TID_MISSION_0_19,Head toward Pirate Bay
TID_MISSION_0_19_OBJECTIVE,The Labycore will be after you any moment now! Your best bet is to head for Pirate Bay. Our guys will help you along the way.
