Name,Text
TID_SHARE_BOX_LOOT_TITLE,Special Loot!
TID_SHARE_BOX_LOOT_TEXT,Do you feel lucky?\nWell you should. You just found <ITEM_NAME>!
TID_SHARE_BOX_LOOT_CELEBRATE,Share the good news!
TID_FB_POST_LOOT_TITLE,<ITEM_NAME> - got it!
TID_FB_POST_LOOT_TEXT,<FIRSTNAME> just looted <ITEM_NAME> at Gunshine.net.
TID_SHARE_BOX_SPECIAL_REWARD_TEXT,You've received a special reward!
TID_SHARE_BOX_SPECIAL_REWARD_CELEBRATE,Share the good news with your friends!
TID_FB_POST_SPECIAL_REWARD_TITLE,<ITEM_NAME> - got it!
TID_FB_POST_SPECIAL_REWARD_TEXT,<FIRSTNAME> just received special reward <ITEM_NAME> at Gunshine.net.
TID_SHARE_BOX_SKILL_TITLE,A new skill!
TID_SHARE_BOX_SKILL_TEXT,"<SKILL_NAME>, rank <RANK_VALUE> learned!\n\nUse this skill when you fight"
TID_SHARE_BOX_SKILL_CELEBRATE,Share the news with your friends?
TID_FB_POST_SKILL_TITLE,Got a new skill!
TID_FB_POST_SKILL_TEXT,<FIRSTNAME> just learned <SKILL_NAME> rank <RANK_VALUE> in Gunshine.net and is becoming more and more powerful!
TID_SHARE_BOX_LEVEL_UP_TITLE,Level Up <NUMBER>!
TID_SHARE_BOX_LEVEL_UP_CELEBRATE,Share the good news with your friends!
TID_FB_POST_LEVEL_UP_TITLE,I'm on level <NUMBER>!
TID_FB_POST_LEVEL_UP_TEXT,<FIRSTNAME> reached level <NUMBER> in Gunshine.net. Now it's a good time to join the fight for freedom!
TID_SHARE_BOX_LEVEL_UP_ATTRIBUTES_INCREASED,Attributes increased
TID_SHARE_BOX_LEVEL_UP_NEW_SKILLS,<NUMBER> skills unlocked
TID_SHARE_BOX_LEVEL_UP_SKILL_UNLOCK,<NAME> Skill Rank <NUMBER> unlocked
TID_SHARE_BOX_LEVEL_UP_NEW_WEAPONS,<NUMBER> weapons unlocked
TID_SHARE_BOX_LEVEL_UP_NEW_ARMORS,<NUMBER> armors unlocked
TID_SHARE_BOX_LEVEL_UP_NEW_ACCESSORIES,<NUMBER> accessories unlocked
TID_SHARE_BOX_LEVEL_UP_NEW_ITEMS,<NUMBER> items unlocked
TID_SHARE_BOX_LEVEL_UP_ITEM_UNLOCK,<NAME> unlocked
TID_SHARE_BOX_PRESTIGE_TITLE,Prestige level <NUMBER> reached!
TID_SHARE_BOX_PRESTIGE_TEXT,"You have gained more prestige, excellent job. You're now a <PRESTIGE_NAME> level <NUMBER>!"
TID_SHARE_BOX_PRESTIGE_CELEBRATE,Celebrate your achievement! Share the news with friends!
